accuracy_mean,bearing_mean,acceleration_y_mean,acceleration_z_mean,second_mean,gyro_magnitude_mean,roll_mean,driver_age_mean,car_age_mean,driver_start_age_mean,G-Force_mean
7.23431738203125,121.96847046875,9.71866729296875,1.244866816953125,450.994140625,0.06829764118878906,256.02972734375,43.0,35.0,23.0,0.0011760812421994578
3.577448967889908,85.18979357798165,9.13066744472477,1.4109622995642201,716.2626146788991,0.14735825057247706,246.33507654128442,53.0,26.0,44.0,0.009329178234008143
7.699114621739131,98.69367588932806,8.94241141778656,4.449316425810276,454.8863636363636,0.06615705763913043,198.7758023715415,50.0,19.0,38.0,0.006206561653166087
3.7045442135371176,209.0414847161572,9.485128208122271,-1.3853576614840613,1217.990174672489,0.048419387946724894,244.83875483624456,41.0,11.0,33.0,0.0016183691196328311
7.656587804390243,171.44329268292682,9.064271801658537,2.37762815362439,523.7451219512195,0.15043344653634147,227.8685221097561,53.0,22.0,44.0,0.013903979176986062
23.983789117687078,102.81791153204082,-2.5051768179591836,-8.89512092852381,387.81802721088434,0.2106454874761905,-51.83736720068027,47.0,14.0,38.0,0.010478897028626961
208.83723757227534,172.06615572695986,-8.183316746558319,-4.526949861185469,590.5497131931166,0.16937077221300192,-185.40086601912046,42.0,19.0,29.0,0.0017550133855316658
3.805139058966565,212.1193009118541,8.270830996352585,4.8584834668693,376.1876899696049,0.06607635490668694,186.36883027355623,46.0,16.0,23.0,0.005951769030147013
4.852205882352941,276.85360249999997,-8.934448561764706,1.8965425850735296,78.76470588235294,0.13629709665294118,-229.00919352941176,47.0,13.0,35.0,0.07727807919117646
11.217904462471395,185.75939838535467,-8.851693754544621,-3.616828294924485,752.7854691075515,0.07486912067025171,-206.95980051144164,42.0,19.0,29.0,0.0025050514669681966
5.565812497794118,111.9289919117647,9.414837131323528,-1.3029958469073528,610.5009191176471,0.062169865910294116,243.85883865441178,53.0,16.0,48.0,0.004248235602967436
10.947008389261745,211.526650442953,-9.109199618322148,-1.3534415097986578,186.34060402684563,0.16263310777181209,-233.08164283892617,42.0,53.0,34.0,0.006600764919374058
8.236635817307693,225.52678562139423,-9.416580707548077,-1.0672172118031251,792.5540865384615,0.07011148460480769,-246.73928935096154,43.0,35.0,23.0,0.006225147021143054
5.121535822256098,235.858993902439,9.539165851829267,1.724311522842683,533.2728658536586,0.06872906836158538,245.9461856402439,44.0,38.0,20.0,0.008743505282447734
